,price
3496,54900
94254,34900
43309,78900
495,22900
105149,97700
22496,304270
40079,16300
111547,22300
6000,25900
104951,128200
101668,56900
102675,52999
39935,4500
62541,279900
3324,38900
98473,15900
62090,279087
54457,74600
32954,69900
38834,25000
115791,185000
37600,55800
15672,32800
34088,71500
20436,355960
109990,203900
7616,12900
114234,41900
56494,346252
92052,44900
23819,353200
72610,85900
94340,63502
72039,39900
117224,355230
34019,528000
106739,22500
89005,49900
34024,295900
34882,129000
12991,27900
25728,151290
49337,35999
20382,204900
19246,153000
61212,98000
11832,17097
84332,28990
53876,78000
4591,17900
93118,128700
80662,6900
22354,167000
59921,147600
19060,28500
101126,94900
94354,71900
23690,160999
94957,92900
18738,28900
83341,23900
28919,331900
110404,85900
84372,21900
110539,16900
31338,110000
11533,92500
57930,55999
8337,17500
52359,24900
82192,9900
54573,19900
76645,205000
101730,23900
19261,67900
94565,85490
80169,119900
17664,42500
48143,16300
7452,11900
44312,134900
48304,8800
97806,27800
58747,15999
98714,12900
45065,113900
40300,16900
58945,6300
2764,25300
79006,31000
109424,46500
90337,33900
87352,67300
58051,114200
89307,17900
114350,176500
3971,33000
74266,90900
114249,159000
66955,30000
22004,64990
69205,18900
112172,19900
16349,72500
107189,43300
98691,8300
97539,11900
6116,49900
47348,23900
81639,29999
104240,35700
52806,19900
620,2750
14014,45900
89402,20900
20268,229900
50733,79900
44432,145000
59279,51700
80935,109799
54542,26500
116673,163999
102515,63990
39648,59900
92402,39900
20274,254900
67054,25000
34515,317800
42786,54900
44499,84000
83946,22900
82112,22900
94194,46900
69748,45300
86751,14700
110574,24900
102812,39900
81411,6900
29502,12888
56065,80900
65261,9300
80264,177400
77560,81900
56756,109900
54684,28500
39630,19900
4855,15900
86530,8300
84943,144500
70012,56900
96911,90113
57165,238900
18867,22500
117524,148500
70685,17500
86327,7500
108052,8900
18982,23000
33192,183000
45433,24900
47924,13999
85130,42000
10996,14500
49058,44900
113592,16494
90006,29500
114498,28900
61995,185000
86599,57600
111430,83700
6055,25900
3017,61500
72693,64700
104073,39900
45977,57000
109226,108900
22307,164999
46044,37900
104448,26600
22555,286000
19133,67000
64874,77500
21111,679900
105769,4800
78691,129012
41850,44500
56891,220000
111310,108680
79632,35900
20415,351660
13838,65900
117845,130000
5825,181900
18627,25000
34689,450000
23856,15900
13257,29000
51981,39999
82346,17999
115554,12900
95858,40990
94025,46900
95659,25999
115048,19500
42933,57900
38498,35900
25295,39999
